Business_ID,Counter_ID,Category,SITE_ID,Branch
00000035,60001,Restaurants,9770,禮客台中店
00000035,60001,Restaurants,9880,禮客內湖2店
00000060,90001,Others,9770,禮客台中店
00000060,90001,Others,9880,禮客內湖2店
00000280,50026,Kids,9770,禮客台中店
00000280,50026,Kids,9880,禮客內湖2店
00000341,30031,Men's Wear,9550,禮客內湖店
00000341,30031,Men's Wear,9880,禮客內湖2店
00000341,30031,Men's Wear,9770,禮客台中店
00000370,10048,Sportswear,9880,禮客內湖2店
00000370,10048,Sportswear,9770,禮客台中店
00000371,10049,Grocery,9880,禮客內湖2店
00000371,10049,Grocery,9770,禮客台中店
00000406,50029,Housewares,9770,禮客台中店
00000406,50029,Housewares,9880,禮客內湖2店
00000409,40001,Women's Wear,9770,禮客台中店
00000409,40001,Women's Wear,9880,禮客內湖2店
00000410,40031,Women's Wear,9770,禮客台中店
00000410,40031,Women's Wear,9880,禮客內湖2店
00000427,50034,Housewares,9770,禮客台中店
00000427,50034,Housewares,9880,禮客內湖2店
00000428,50035,Housewares,9770,禮客台中店
00000428,50035,Housewares,9880,禮客內湖2店
00000430,50027,Housewares,9770,禮客台中店
00000430,50027,Housewares,9880,禮客內湖2店
00000435,30034,Men's Wear,9880,禮客內湖2店
00000435,30034,Men's Wear,9770,禮客台中店
00000436,10002,Women's Wear,9880,禮客內湖2店
00000436,10002,Women's Wear,9770,禮客台中店
00000437,10041,Accessories,9880,禮客內湖2店
00000437,10041,Accessories,9770,禮客台中店
00000438,10031,Women's Wear,9880,禮客內湖2店
00000438,10031,Women's Wear,9770,禮客台中店
00000439,10009,Accessories,9880,禮客內湖2店
00000439,10009,Accessories,9770,禮客台中店
00000440,10003,Women's Wear,9880,禮客內湖2店
00000440,10003,Women's Wear,9770,禮客台中店
00000441,10005,Fashion,9880,禮客內湖2店
00000441,10005,Fashion,9550,禮客內湖店
00000441,10005,Fashion,9770,禮客台中店
00000442,20001,Sportswear,9770,禮客台中店
00000442,20001,Sportswear,9880,禮客內湖2店
00000444,20004,Women's Wear,9880,禮客內湖2店
00000444,20004,Women's Wear,9770,禮客台中店
00000445,20014,Sportswear,9880,禮客內湖2店
00000445,20014,Sportswear,9770,禮客台中店
00000446,30026,Sportswear,9770,禮客台中店
00000446,30026,Sportswear,9880,禮客內湖2店
00000447,30007,Fashion,9770,禮客台中店
00000447,30007,Fashion,9880,禮客內湖2店
00000448,30009,Sportswear,9880,禮客內湖2店
00000448,30009,Sportswear,9770,禮客台中店
00000449,30004,Women's Wear,9880,禮客內湖2店
00000449,30004,Women's Wear,9770,禮客台中店
00000450,30006,Fashion,9770,禮客台中店
00000450,30006,Fashion,9880,禮客內湖2店
00000452,30032,Men's Wear,9880,禮客內湖2店
00000452,30032,Men's Wear,9770,禮客台中店
00000453,40020,Women's Wear,9770,禮客台中店
00000453,40020,Women's Wear,9880,禮客內湖2店
00000454,40004,Women's Wear,9770,禮客台中店
00000454,40004,Women's Wear,9880,禮客內湖2店
00000455,40003,Women's Wear,9770,禮客台中店
00000455,40003,Women's Wear,9880,禮客內湖2店
00000456,40010,Women's Wear,9770,禮客台中店
00000456,40010,Women's Wear,9880,禮客內湖2店
00000457,40025,Women's Wear,9770,禮客台中店
00000457,40025,Women's Wear,9880,禮客內湖2店
00000458,40007,Women's Wear,9770,禮客台中店
00000458,40007,Women's Wear,9880,禮客內湖2店
00000459,40029,Beauty,9770,禮客台中店
00000459,40029,Beauty,9880,禮客內湖2店
00000460,40006,Women's Wear,9880,禮客內湖2店
00000460,40006,Women's Wear,9770,禮客台中店
00000461,50001,Housewares,9770,禮客台中店
00000461,50001,Housewares,9550,禮客內湖店
00000461,50001,Housewares,9880,禮客內湖2店
00000462,50005,Housewares,9770,禮客台中店
00000462,50005,Housewares,9550,禮客內湖店
00000462,50005,Housewares,9880,禮客內湖2店
00000465,60002,Restaurants,9770,禮客台中店
00000465,60002,Restaurants,9550,禮客內湖店
00000465,60002,Restaurants,9880,禮客內湖2店
00000479,50037,Housewares,9880,禮客內湖2店
00000479,50037,Housewares,9770,禮客台中店
00000488,20025,Sportswear,9770,禮客台中店
00000488,20025,Sportswear,9880,禮客內湖2店
00000489,30027,Women's Wear,9880,禮客內湖2店
00000489,30027,Women's Wear,9770,禮客台中店
00000490,20030,Men's Wear,9770,禮客台中店
00000490,20030,Men's Wear,9880,禮客內湖2店
00000499,10054,Fashion,9880,禮客內湖2店
00000499,10054,Fashion,9770,禮客台中店
00000500,20016,Sportswear,9880,禮客內湖2店
00000500,20016,Sportswear,9770,禮客台中店
00000501,20028,Accessories,9880,禮客內湖2店
00000501,20028,Accessories,9770,禮客台中店
00000501,20028,Accessories,9550,禮客內湖店
00000502,20031,Sportswear,9550,禮客內湖店
00000502,20031,Sportswear,9880,禮客內湖2店
00000502,20031,Sportswear,9770,禮客台中店
00000503,30030,Men's Wear,9770,禮客台中店
00000503,30030,Men's Wear,9880,禮客內湖2店
00000504,30033,Accessories,9880,禮客內湖2店
00000504,30033,Accessories,9770,禮客台中店
00000505,30001,Leisurewear,9880,禮客內湖2店
00000505,30001,Leisurewear,9770,禮客台中店
00000506,40023,Women's Wear,9770,禮客台中店
00000506,40023,Women's Wear,9880,禮客內湖2店
00000508,20019,Sportswear,9880,禮客內湖2店
00000508,20019,Sportswear,9770,禮客台中店
00000509,70013,Men's Wear,9770,禮客台中店
00000509,70013,Men's Wear,9880,禮客內湖2店
00000510,30035,Men's Wear,9880,禮客內湖2店
00000510,30035,Men's Wear,9770,禮客台中店
00000511,10054,Fashion,9880,禮客內湖2店
00000511,10054,Fashion,9770,禮客台中店
00000512,20016,Sportswear,9880,禮客內湖2店
00000512,20016,Sportswear,9770,禮客台中店
00000513,30030,Men's Wear,9770,禮客台中店
00000513,30030,Men's Wear,9880,禮客內湖2店
00000514,40023,Women's Wear,9770,禮客台中店
00000514,40023,Women's Wear,9880,禮客內湖2店
00000515,30036,Beauty,9880,禮客內湖2店
00000515,30036,Beauty,9770,禮客台中店
00000516,30037,Leisurewear,9880,禮客內湖2店
00000516,30037,Leisurewear,9770,禮客台中店
00000517,30030,Men's Wear,9770,禮客台中店
00000517,30030,Men's Wear,9880,禮客內湖2店
00000518,40023,Women's Wear,9770,禮客台中店
00000518,40023,Women's Wear,9880,禮客內湖2店
00000519,30038,Sportswear,9770,禮客台中店
00000519,30038,Sportswear,9880,禮客內湖2店
00000520,70007,Housewares,9770,禮客台中店
00000520,70007,Housewares,9880,禮客內湖2店
00000521,70012,Women's Wear,9770,禮客台中店
00000521,70012,Women's Wear,9550,禮客內湖店
00000521,70012,Women's Wear,9880,禮客內湖2店
00000522,70014,Housewares,9770,禮客台中店
00000522,70014,Housewares,9880,禮客內湖2店
00000523,00024,Housewares,9880,禮客內湖2店
00000523,00024,Housewares,9770,禮客台中店
00000524,10054,Fashion,9770,禮客台中店
00000524,10054,Fashion,9880,禮客內湖2店
00000525,20016,Sportswear,9770,禮客台中店
00000525,20016,Sportswear,9880,禮客內湖2店
00000526,10055,Housewares,9880,禮客內湖2店
00000526,10055,Housewares,9770,禮客台中店
00000527,30038,Sportswear,9880,禮客內湖2店
00000527,30038,Sportswear,9770,禮客台中店
00000528,50034,Housewares,9770,禮客台中店
00000528,50034,Housewares,9880,禮客內湖2店
00000529,50026,Kids,9770,禮客台中店
00000529,50026,Kids,9880,禮客內湖2店
00000530,50039,Housewares,9770,禮客台中店
00000530,50039,Housewares,9880,禮客內湖2店
00000531,10056,Women's Wear,9880,禮客內湖2店
00000531,10056,Women's Wear,9770,禮客台中店
00000532,70006,Accessories,9770,禮客台中店
00000532,70006,Accessories,9880,禮客內湖2店
00000533,70014,Housewares,9770,禮客台中店
00000533,70014,Housewares,9880,禮客內湖2店
00000534,70015,Sportswear,9770,禮客台中店
00000534,70015,Sportswear,9880,禮客內湖2店
00000535,10002,Women's Wear,9880,禮客內湖2店
00000535,10002,Women's Wear,9770,禮客台中店
00000536,10009,Accessories,9880,禮客內湖2店
00000536,10009,Accessories,9770,禮客台中店
00000537,10054,Fashion,9880,禮客內湖2店
00000537,10054,Fashion,9770,禮客台中店
00000538,30030,Men's Wear,9880,禮客內湖2店
00000538,30030,Men's Wear,9770,禮客台中店
00000539,30034,Men's Wear,9770,禮客台中店
00000539,30034,Men's Wear,9880,禮客內湖2店
00000540,30035,Men's Wear,9770,禮客台中店
00000540,30035,Men's Wear,9880,禮客內湖2店
00000541,40023,Women's Wear,9770,禮客台中店
00000541,40023,Women's Wear,9550,禮客內湖店
00000541,40023,Women's Wear,9880,禮客內湖2店
00000542,20004,Women's Wear,9770,禮客台中店
00000542,20004,Women's Wear,9880,禮客內湖2店
00000542,20004,Women's Wear,9550,禮客內湖店
00000543,10003,Women's Wear,9880,禮客內湖2店
00000543,10003,Women's Wear,9770,禮客台中店
00000543,10003,Women's Wear,9550,禮客內湖店
00000544,30026,Sportswear,9770,禮客台中店
00000544,30026,Sportswear,9880,禮客內湖2店
00000545,40001,Women's Wear,9770,禮客台中店
00000545,40001,Women's Wear,9880,禮客內湖2店
00000546,40003,Women's Wear,9770,禮客台中店
00000546,40003,Women's Wear,9880,禮客內湖2店
00000547,40004,Women's Wear,9880,禮客內湖2店
00000547,40004,Women's Wear,9770,禮客台中店
00000548,40007,Women's Wear,9770,禮客台中店
00000548,40007,Women's Wear,9880,禮客內湖2店
00000549,40010,Women's Wear,9770,禮客台中店
00000549,40010,Women's Wear,9880,禮客內湖2店
00000550,40020,Women's Wear,9770,禮客台中店
00000550,40020,Women's Wear,9880,禮客內湖2店
00000551,40031,Women's Wear,9770,禮客台中店
00000551,40031,Women's Wear,9880,禮客內湖2店
00000552,50029,Housewares,9770,禮客台中店
00000552,50029,Housewares,9880,禮客內湖2店
00000553,20019,Sportswear,9880,禮客內湖2店
00000553,20019,Sportswear,9770,禮客台中店
00000554,10057,Leisurewear,9880,禮客內湖2店
00000554,10057,Leisurewear,9770,禮客台中店
00000555,50040,Housewares,9770,禮客台中店
00000555,50040,Housewares,9880,禮客內湖2店
00000556,00025,Housewares,9880,禮客內湖2店
00000556,00025,Housewares,9770,禮客台中店
00000557,40029,Beauty,9770,禮客台中店
00000557,40029,Beauty,9880,禮客內湖2店
00000558,40032,Women's Wear,9770,禮客台中店
00000558,40032,Women's Wear,9880,禮客內湖2店
00000559,30031,Men's Wear,9880,禮客內湖2店
00000559,30031,Men's Wear,9770,禮客台中店
00000560,20014,Sportswear,9770,禮客台中店
00000560,20014,Sportswear,9880,禮客內湖2店
00000561,20031,Sportswear,9770,禮客台中店
00000561,20031,Sportswear,9880,禮客內湖2店
00000561,20031,Sportswear,9550,禮客內湖店
00000562,30004,Women's Wear,9880,禮客內湖2店
00000562,30004,Women's Wear,9770,禮客台中店
00000563,30006,Fashion,9880,禮客內湖2店
00000563,30006,Fashion,9770,禮客台中店
00000564,40006,Women's Wear,9770,禮客台中店
00000564,40006,Women's Wear,9880,禮客內湖2店
00000565,50001,Housewares,9770,禮客台中店
00000565,50001,Housewares,9880,禮客內湖2店
00000566,10041,Accessories,9880,禮客內湖2店
00000566,10041,Accessories,9770,禮客台中店
00000567,70014,Housewares,9770,禮客台中店
00000567,70014,Housewares,9880,禮客內湖2店
00000568,10054,Fashion,9880,禮客內湖2店
00000568,10054,Fashion,9770,禮客台中店
00000569,10057,Leisurewear,9880,禮客內湖2店
00000569,10057,Leisurewear,9770,禮客台中店
00000570,30024,Accessories,9770,禮客台中店
00000570,30024,Accessories,9880,禮客內湖2店
00000571,60003,Restaurants,9770,禮客台中店
00000571,60003,Restaurants,9880,禮客內湖2店
00000572,10057,Leisurewear,9880,禮客內湖2店
00000572,10057,Leisurewear,9770,禮客台中店
00000573,20016,Sportswear,9770,禮客台中店
00000573,20016,Sportswear,9880,禮客內湖2店
00000574,30030,Men's Wear,9880,禮客內湖2店
00000574,30030,Men's Wear,9770,禮客台中店
00000575,30035,Men's Wear,9880,禮客內湖2店
00000575,30035,Men's Wear,9770,禮客台中店
00000576,40023,Women's Wear,9880,禮客內湖2店
00000576,40023,Women's Wear,9770,禮客台中店
00000577,10058,Sportswear,9880,禮客內湖2店
00000577,10058,Sportswear,9770,禮客台中店
00000578,70009,Sportswear,9770,禮客台中店
00000578,70009,Sportswear,9880,禮客內湖2店
00000579,10057,Leisurewear,9880,禮客內湖2店
00000579,10057,Leisurewear,9770,禮客台中店
00000580,10058,Sportswear,9880,禮客內湖2店
00000580,10058,Sportswear,9770,禮客台中店
00000581,20025,Sportswear,9770,禮客台中店
00000581,20025,Sportswear,9880,禮客內湖2店
00000581,20025,Sportswear,9550,禮客內湖店
00000582,30034,Men's Wear,9880,禮客內湖2店
00000582,30034,Men's Wear,9770,禮客台中店
00000583,30027,Women's Wear,9770,禮客台中店
00000583,30027,Women's Wear,9880,禮客內湖2店
00000584,10037,Housewares,9880,禮客內湖2店
00000584,10037,Housewares,9770,禮客台中店
00000586,70016,Sportswear,9770,禮客台中店
00000586,70016,Sportswear,9880,禮客內湖2店
00000587,10058,Sportswear,9880,禮客內湖2店
00000587,10058,Sportswear,9770,禮客台中店
00000588,20025,Sportswear,9880,禮客內湖2店
00000588,20025,Sportswear,9770,禮客台中店
00000589,20016,Sportswear,9770,禮客台中店
00000589,20016,Sportswear,9880,禮客內湖2店
00000590,30030,Men's Wear,9770,禮客台中店
00000590,30030,Men's Wear,9880,禮客內湖2店
00000591,30035,Men's Wear,9770,禮客台中店
00000591,30035,Men's Wear,9880,禮客內湖2店
00000592,40023,Women's Wear,9770,禮客台中店
00000592,40023,Women's Wear,9880,禮客內湖2店
00000593,10034,Men's Wear,9880,禮客內湖2店
00000593,10034,Men's Wear,9770,禮客台中店
00000594,70012,Women's Wear,9770,禮客台中店
00000594,70012,Women's Wear,9880,禮客內湖2店
00000597,10059,Women's Wear,9880,禮客內湖2店
00000597,10059,Women's Wear,9770,禮客台中店
00005961,20073,Fashion,9550,禮客內湖店
00009899,35082,Women's Wear,9660,禮客公館店
00010306,35078,Men's Wear,9660,禮客公館店
00010307,95002,Mix,9660,禮客公館店
00010872,35120,Women's Wear,9660,禮客公館店
00010873,15055,Accessories,9660,禮客公館店
00010877,35058,Sportswear,9660,禮客公館店
00010878,95003,Others,9660,禮客公館店
00010900,35146,Men's Wear,9660,禮客公館店
00010907,15067,Accessories,9660,禮客公館店
00010912,15069,Accessories,9660,禮客公館店
